,pref_name,station_cd,station_g_cd,station_name,line_cd,post,add,lon,lat,open_ymd,close_ymd,e_status,x,y
0,北海道,1110101,1110101,函館,11101,040-0063,北海道函館市若松町１２-１３,140.72641299999998,41.773709000000004,1902-12-10,,0,1407264.13,-417737.09
1,北海道,1110102,1110102,五稜郭,11101,041-0813,函館市亀田本町,140.73353899999998,41.803557,,,0,1407335.39,-418035.57
2,北海道,1110103,1110103,桔梗,11101,041-1210,北海道函館市桔梗３丁目４１-３６,140.722952,41.846457,1902-12-10,,0,1407229.52,-418464.57
3,北海道,1110104,1110104,大中山,11101,041-1121,亀田郡七飯町大字大中山,140.71358,41.864641,,,0,1407135.8,-418646.41
4,北海道,1110105,1110105,七飯,11101,041-1111,亀田郡七飯町字本町,140.688556,41.886971,,,0,1406885.56,-418869.71
5,北海道,1110106,1110106,渡島大野,11101,041-1242,北斗市市渡,140.646525,41.9054,,,0,1406465.25,-419054.0
6,北海道,1110107,1110107,仁山,11101,041-1101,亀田郡七飯町字仁山,140.635183,41.930011,,,0,1406351.83,-419300.11
7,北海道,1110108,1110108,大沼,11101,041-1354,北海道亀田郡七飯町字大沼町４,140.669347,41.971954,1903-06-28,,0,1406693.47,-419719.54
8,北海道,1110109,1110109,大沼公園,11101,041-1354,北海道亀田郡七飯町字大沼町８５,140.669758,41.980958,1907-06-05,,0,1406697.58,-419809.58
9,北海道,1110110,1110110,赤井川,11101,049-2142,茅部郡森町字赤井川,140.642678,42.003267,,,0,1406426.7799999998,-420032.67
10,北海道,1110111,1110111,駒ケ岳,11101,049-2300,北海道茅部郡森町字駒ヶ岳,140.610476,42.038809,,,0,1406104.76,-420388.09
11,北海道,1110112,1110112,東山,11101,049-2141,茅部郡森町字駒ケ岳,140.605222,42.06172,,,0,1406052.22,-420617.2
12,北海道,1110113,1110113,姫川,11101,049-2306,茅部郡森町字姫川,140.591632,42.081312,,,0,1405916.32,-420813.12
13,北海道,1110114,1110114,池田園,11101,041-1352,亀田郡七飯町字軍川,140.700333,41.990691999999996,,,0,1407003.33,-419906.92
14,北海道,1110115,1110115,流山温泉,11101,041-1351,亀田郡七飯町字東大沼２３６,140.716358,42.003483,,,0,1407163.58,-420034.83
15,北海道,1110116,1110116,銚子口,11101,041-1351,亀田郡七飯町字東大沼,140.72065600000002,42.015471000000005,,,0,1407206.5600000003,-420154.7100000001
16,北海道,1110117,1110117,鹿部,11101,041-1404,茅部郡鹿部町字本別,140.771393,42.06439,,,0,1407713.93,-420643.9
17,北海道,1110118,1110118,渡島沼尻,11101,049-2223,茅部郡森町砂原東４丁目,140.747596,42.10706,,,0,1407475.96,-421070.6
18,北海道,1110119,1110119,渡島砂原,11101,049-2222,茅部郡森町砂原４丁目,140.689451,42.12164,,,0,1406894.51,-421216.39999999997
19,北海道,1110120,1110120,掛澗,11101,049-2221,茅部郡森町砂原西３丁目,140.64598,42.119205,,,0,1406459.8,-421192.05
20,北海道,1110121,1110121,尾白内,11101,049-2301,茅部郡森町字尾白内町,140.613449,42.111232,,,0,1406134.49,-421112.32
21,北海道,1110122,1110122,東森,11101,049-2302,茅部郡森町字港町,140.59353000000002,42.106823,,,0,1405935.3,-421068.23
22,北海道,1110123,1110123,森,11101,049-2325,茅部郡森町字本町,140.573846,42.108917,,,0,1405738.46,-421089.17
23,北海道,1110124,1110124,桂川,11101,049-2321,茅部郡森町字鷲ノ木町,140.5427876,42.1156004,,,0,1405427.876,-421156.00399999996
24,北海道,1110125,1110125,石谷,11101,049-2464,茅部郡森町字本茅部町,140.506525,42.135519,,,0,1405065.25,-421355.19
25,北海道,1110126,1110126,本石倉,11101,049-2463,茅部郡森町字石倉町,140.471957,42.159667999999996,,,0,1404719.57,-421596.67999999993
26,北海道,1110127,1110127,石倉,11101,049-2463,茅部郡森町字石倉町,140.458436,42.17285,,,0,1404584.36,-421728.49999999994
27,北海道,1110128,1110128,落部,11101,049-2562,二海郡八雲町落部,140.420755,42.187616999999996,,,0,1404207.55,-421876.17
28,北海道,1110129,1110129,野田生,11101,049-2672,二海郡八雲町野田生,140.37586000000002,42.217104,,,0,1403758.6,-422171.04
29,北海道,1110130,1110130,山越,11101,049-2671,二海郡八雲町山越,140.326593,42.231171999999994,,,0,1403265.93,-422311.7199999999
30,北海道,1110131,1110131,八雲,11101,049-3107,二海郡八雲町本町,140.27334199999999,42.253391,,,0,1402733.42,-422533.91000000003
31,北海道,1110132,1110132,鷲ノ巣,11101,049-3122,二海郡八雲町花浦,140.269919,42.278389000000004,,,0,1402699.19,-422783.89
32,北海道,1110133,1110133,山崎,11101,049-3342,二海郡八雲町山崎,140.2746,42.314634999999996,,,0,1402746.0,-423146.35
33,北海道,1110134,1110134,黒岩,11101,049-3341,二海郡八雲町黒岩,140.288173,42.368296,,,0,1402881.73,-423682.96
34,北海道,1110135,1110135,北豊津,11101,049-3464,山越郡長万部町字豊津,140.297868,42.400969,,,0,1402978.68,-424009.69000000006
35,北海道,1110136,1110136,国縫,11101,049-3462,山越郡長万部町字国縫,140.320885,42.439319,,,0,1403208.85,-424393.19
36,北海道,1110137,1110137,中ノ沢,11101,049-3512,山越郡長万部町字中の沢,140.346077,42.477928000000006,,,0,1403460.77,-424779.28
37,北海道,1110138,1110138,長万部,11101,049-3521,山越郡長万部町字長万部,140.37507,42.512477000000004,,,0,1403750.7,-425124.77
38,北海道,1110201,1110138,長万部,11102,049-3521,山越郡長万部町字長万部,140.37507,42.512477000000004,,,0,1403750.7,-425124.77
39,北海道,1110202,1110202,二股,11102,049-3501,山越郡長万部町字双葉,140.320821,42.575869,,,0,1403208.21,-425758.68999999994
40,北海道,1110203,1110203,蕨岱,11102,049-3503,山越郡長万部町字蕨岱,140.313353,42.626353,,,0,1403133.53,-426263.53
41,北海道,1110204,1110204,黒松内,11102,048-0101,寿都郡黒松内町字黒松内,140.305704,42.669608000000004,,,0,1403057.0399999998,-426696.08
42,北海道,1110205,1110205,熱郛,11102,048-0134,寿都郡黒松内町字白井川,140.37508400000002,42.675653000000004,,,0,1403750.84,-426756.53
43,北海道,1110206,1110206,目名,11102,048-1261,磯谷郡蘭越町目名町,140.465742,42.761432,,,0,1404657.4200000002,-427614.32
44,北海道,1110207,1110207,蘭越,11102,048-1301,磯谷郡蘭越町蘭越町,140.52893999999998,42.804542,,,0,1405289.3999999997,-428045.42
45,北海道,1110208,1110208,昆布,11102,048-1302,磯谷郡蘭越町昆布町,140.59610700000002,42.797984,,,0,1405961.07,-427979.83999999997
46,北海道,1110209,1110209,ニセコ,11102,048-1512,虻田郡ニセコ町字中央通,140.684588,42.808746,,,0,1406845.88,-428087.46
47,北海道,1110210,1110210,比羅夫,11102,044-0077,虻田郡倶知安町比羅夫,140.722615,42.84856,,,0,1407226.15,-428485.6
48,北海道,1110211,1110211,倶知安,11102,044-0051,虻田郡倶知安町北三条西４丁目,140.745471,42.90164,,,0,1407454.7100000002,-429016.4
49,北海道,1110212,1110212,小沢,11102,048-2142,岩内郡共和町小沢,140.677657,42.97185,,,0,1406776.57,-429718.50000000006
50,北海道,1110213,1110213,銀山,11102,048-2335,余市郡仁木町銀山２丁目,140.715321,43.040888,,,0,1407153.21,-430408.88
51,北海道,1110214,1110214,然別,11102,048-2403,余市郡仁木町然別,140.737211,43.12551,,,0,1407372.11,-431255.1
52,北海道,1110215,1110215,仁木,11102,048-2405,余市郡仁木町字北町１丁目,140.770546,43.154090999999994,,,0,1407705.46,-431540.9099999999
53,北海道,1110216,1110216,余市,11102,046-0003,余市郡余市町黒川町５丁目,140.794686,43.186558000000005,,,0,1407946.86,-431865.5800000001
54,北海道,1110217,1110217,蘭島,11102,048-2562,小樽市蘭島１丁目,140.85464299999998,43.196509999999996,,,0,1408546.4299999997,-431965.1
55,北海道,1110218,1110218,塩谷,11102,048-2672,小樽市塩谷２丁目,140.924546,43.202405999999996,,,0,1409245.46,-432024.05999999994
56,北海道,1110219,1110219,小樽,11102,047-0032,小樽市稲穂２丁目,140.993653,43.197171999999995,,,0,1409936.53,-431971.72
57,北海道,1110301,1110219,小樽,11103,047-0032,小樽市稲穂２丁目,140.993653,43.197171999999995,,,0,1409936.53,-431971.72
58,北海道,1110302,1110302,南小樽,11103,047-0015,小樽市住吉町,141.00788300000002,43.186529,,,0,1410078.8300000003,-431865.29
59,北海道,1110303,1110303,小樽築港,11103,047-0008,小樽市築港,141.029051,43.180752000000005,,,0,1410290.51,-431807.5200000001
60,北海道,1110304,1110304,朝里,11103,047-0151,小樽市朝里１丁目,141.063923,43.176868,,,0,1410639.23,-431768.68
61,北海道,1110305,1110305,銭函,11103,047-0261,小樽市銭函２丁目,141.159868,43.143403,,,0,1411598.68,-431434.02999999997
62,北海道,1110306,1110306,ほしみ,11103,006-0859,札幌市手稲区手稲星置１条９丁目,141.191402,43.13373,,,0,1411914.02,-431337.3
63,北海道,1110307,1110307,星置,11103,006-0851,札幌市手稲区星置１条３丁目,141.210856,43.132375,,,0,1412108.56,-431323.75000000006
64,北海道,1110308,1110308,稲穂,11103,006-0831,札幌市手稲区曙１条３丁目,141.222919,43.128115,,,0,1412229.19,-431281.15
65,北海道,1110309,1110309,手稲,11103,006-0021,札幌市手稲区手稲本町１条４丁目,141.243785,43.120238,,,0,1412437.85,-431202.38
66,北海道,1110310,1110310,稲積公園,11103,006-0011,札幌市手稲区富丘１条４丁目,141.25711299999998,43.112023,,,0,1412571.1299999997,-431120.23
67,北海道,1110311,1110311,発寒,11103,063-0829,札幌市西区発寒９条１３丁目,141.277273,43.099819000000004,,,0,1412772.73,-430998.19000000006
68,北海道,1110312,1110312,発寒中央,11103,063-0826,札幌市西区発寒十条３丁目,141.294497,43.089271000000004,,,0,1412944.97,-430892.71
69,北海道,1110313,1110313,琴似,11103,063-0812,札幌市西区琴似2条2丁目,141.30741799999998,43.081599,,,0,1413074.18,-430815.99
70,北海道,1110314,1110314,桑園,11103,060-0011,札幌市中央区北１１条西１５丁目,141.33203600000002,43.070744,,,0,1413320.36,-430707.44
71,北海道,1110315,1110315,札幌,11103,060-0806,札幌市北区北６条西４丁目,141.350768,43.068612,,,0,1413507.68,-430686.12
72,北海道,1110316,1110316,苗穂,11103,060-0033,札幌市中央区北３条東１３丁目,141.377522,43.068574,,,0,1413775.22,-430685.74
73,北海道,1110317,1110317,白石,11103,003-0029,札幌市白石区平和通3丁目北6,141.413612,43.054715,1903-04-21,,0,1414136.12,-430547.15
74,北海道,1110318,1110318,厚別,11103,004-0055,札幌市厚別区厚別中央５条４丁目,141.46368999999999,43.045154,,,0,1414636.9,-430451.54
75,北海道,1110319,1110319,森林公園,11103,004-0071,札幌市厚別区厚別北１条４丁目,141.481332,43.056456,,,0,1414813.32,-430564.56
