,company_cd,company_name,company_name_h,company_name_k,company_name_r,company_type,company_url,e_status_x,e_status_y,has_station_data,is_bullet,lat,line_cd,line_name,line_name_h,line_name_k,lon,rr_cd,station_cd1,station_cd2,zoom
37,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140222,1140223,10.0
38,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140223,1140224,10.0
39,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140224,1140225,10.0
40,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140225,1140226,10.0
41,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140226,1140227,10.0
42,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140227,1140228,10.0
43,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140228,1140229,10.0
44,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140229,1140230,10.0
45,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140230,1140231,10.0
46,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140231,1140232,10.0
47,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140232,1140233,10.0
48,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140233,1140234,10.0
49,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140234,1140235,10.0
50,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140235,1140236,10.0
51,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140236,1140237,10.0
52,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140237,1140238,10.0
53,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.39216323856454,11402,JR身延線,JR身延線,ミノブセン,138.5323970333487,11.0,1140238,1140239,10.0
54,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141101,1141102,9.0
55,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141102,1141103,9.0
56,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141103,1141104,9.0
57,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141104,1141105,9.0
58,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141105,1141106,9.0
59,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141106,1141107,9.0
60,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141107,1141108,9.0
61,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141108,1141109,9.0
62,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141109,1141110,9.0
63,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141110,1141111,9.0
64,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141111,1141112,9.0
65,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141112,1141113,9.0
66,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141113,1141114,9.0
67,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141114,1141115,9.0
